"","subject","related_queries","value","geo","keyword","category"
"1","100","top","red light therapy","US-MI","light therapy",0
"2","98","top","red light","US-MI","light therapy",0
"3","10","top","blue light therapy","US-MI","light therapy",0
"4","10","top","infrared light therapy","US-MI","light therapy",0
"5","9","top","light therapy mask","US-MI","light therapy",0
"6","9","top","red light therapy benefits","US-MI","light therapy",0
"7","6","top","planet fitness","US-MI","light therapy",0
"8","5","top","sad light","US-MI","light therapy",0
"9","5","top","what is red light therapy","US-MI","light therapy",0
"10","5","top","red light therapy near me","US-MI","light therapy",0
"11","5","top","light box therapy","US-MI","light therapy",0
"12","5","top","light box","US-MI","light therapy",0
"13","3","top","red light therapy at home","US-MI","light therapy",0
"14","2","top","red light therapy mask","US-MI","light therapy",0
"15","2","top","red light mask","US-MI","light therapy",0
"16","1","top","miroco light therapy lamp","US-MI","light therapy",0
"17","1","top","fabfitfun","US-MI","light therapy",0
"18","<1","top","emdr therapy","US-MI","light therapy",0
"19","<1","top","revive light therapy glo","US-MI","light therapy",0
"20","<1","top","uv light injection","US-MI","light therapy",0
"21","Breakout","rising","miroco light therapy lamp","US-MI","light therapy",0
"22","Breakout","rising","fabfitfun","US-MI","light therapy",0
"23","Breakout","rising","emdr therapy","US-MI","light therapy",0
"24","Breakout","rising","revive light therapy glo","US-MI","light therapy",0
"25","Breakout","rising","uv light injection","US-MI","light therapy",0
"26","+600%","rising","red light therapy mask","US-MI","light therapy",0
"27","+450%","rising","red light therapy at home","US-MI","light therapy",0
"28","+400%","rising","red light therapy near me","US-MI","light therapy",0
"29","+400%","rising","red light mask","US-MI","light therapy",0
"30","+200%","rising","red light therapy benefits","US-MI","light therapy",0
"31","+40%","rising","infrared light therapy","US-MI","light therapy",0
"32","100","top","depression","US-MI","seasonal affective disorder",0
"33","99","top","seasonal depression","US-MI","seasonal affective disorder",0
"34","97","top","seasonal affective depression","US-MI","seasonal affective disorder",0
"35","66","top","sad","US-MI","seasonal affective disorder",0
"36","61","top","seasonal affective disorder lamp","US-MI","seasonal affective disorder",0
"37","37","top","light therapy","US-MI","seasonal affective disorder",0
"38","37","top","bipolar disorder","US-MI","seasonal affective disorder",0
"39","28","top","anxiety disorder","US-MI","seasonal affective disorder",0
"40","14","top","clinical depression","US-MI","seasonal affective disorder",0
"41","13","top","sadd","US-MI","seasonal affective disorder",0
"42","9","top","wellbutrin","US-MI","seasonal affective disorder",0
"43","8","top","schizophrenia","US-MI","seasonal affective disorder",0
"44","7","top","obsessive compulsive disorder","US-MI","seasonal affective disorder",0
"45","7","top","post traumatic stress disorder","US-MI","seasonal affective disorder",0
"46","6","top","phobic disorder","US-MI","seasonal affective disorder",0
"47","6","top","light therapy lamp","US-MI","seasonal affective disorder",0
"48","+170%","rising","phobic disorder","US-MI","seasonal affective disorder",0
"49","+130%","rising","seasonal affective disorder lamp","US-MI","seasonal affective disorder",0
"50","+90%","rising","light therapy lamp","US-MI","seasonal affective disorder",0
"51","+80%","rising","obsessive compulsive disorder","US-MI","seasonal affective disorder",0
"52","+80%","rising","post traumatic stress disorder","US-MI","seasonal affective disorder",0
"53","+60%","rising","anxiety disorder","US-MI","seasonal affective disorder",0
"54","+50%","rising","clinical depression","US-MI","seasonal affective disorder",0
"55","+40%","rising","seasonal affective depression","US-MI","seasonal affective disorder",0
"56","100","top","johnny winter","US-MI","winter blues",0
"57","20","top","alex winter","US-MI","winter blues",0
"58","Breakout","rising","alex winter","US-MI","winter blues",0
"59","+50%","rising","johnny winter","US-MI","winter blues",0
